MAC,Model,Model Alias,Model Type,Device Classification,MCATS/ CATS,Rack,Location,Location Site,Placement Type,Team Name,Used For,Device Owner (Primary),Utilisation % (Jan 1 to Jan 15),Utilisation % Week 4 (Jan 16 to Jan 25),Utilisation % Week 5 (Jan 26 to Feb 1),Utilisation % Week 6 (Feb 2 to Feb 8),Utilisation % Week 7 (Feb 9 to Feb 15),Utilisation % Week 8 (Feb 16 to Feb 22),"Utilisation % Week 9,10 (Feb 22 to Mar 8)",Automatics Filter name,INFRA Tickets,Device Repurpose,
D4:DA:CD:FF:A7:DA,SKXI11AEISODE,Sky-XiOne-DE,XIONE_ALPACA_DE,Sky Stream,CATS,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,Automation/Execution,Saritha,2.43,5.08,3.43,13.37,11.99,10.56,8.15,RDKE_SANITY_ALPACADE_CATS,,,
F0:46:3B:FA:D3:37,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,CIEC-MOD7-R5R15,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,5.77,2.15,2.39,12.4,4.23,2.14,2.14,RDKE_SERCOMM_REALTEK_ES1_SANITY_CATS,,,
F0:46:3B:FA:D6:1C,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,CATS,CIEC-MOD7-R5R15,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,3.7,32.85,49,11.43,2.83,40.84,21.95,RDKE_SERCOMM_REALTEK_ES1_SANITY_CATS,,,
F0:46:3B:0F:CC:0C,SCXI11AIC,Sercomm-Realtek-Xione,SERCOMM_REALTEK_XIONE_US,Xumo Stream,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,1.56,7.01,9.5,6.66,2.61,0.3,0.24,Need to create filter,,,
New Devices Added to private pool,,,,,,,,,,,,,,,,,,,,,,,
F0:46:3B:3D:0B:7D,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation porting on Sercomm BCM Charter,Arun,22.48,22.78,3.41,13.42,18.14,28.52,50.24,,,,
F0:46:3B:5C:02:B4,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation porting on Sercomm BCM Charter,Rebecca,13.39,25.46,6.3,21.24,70.59,27.1,37.96,,,,
F0:46:3B:5B:F6:0F,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Rufus,,2.96,4.15,8.12,4.8,2.19,14.06,,,,
F0:46:3B:5B:FC:A2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_WEST,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Priyanka,3.66,2.17,2.35,20.11,2.24,2.13,2.13,,,,
F0:46:3B:5B:EC:2B,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_EAST,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation/Execution,Priyanka,5.01,38.91,9.8,15.96,0.76,6.66,2.87,,,,
74:06:35:06:DD:EA,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Automation porting on ES1,Sithara,16.99,39.63,26.16,18.11,39.5,52.43,24.18,,,,
F0:46:3B:00:EC:31,SCXI11AIC,Sercomm-Realtek-Xione,SERCOMM_REALTEK_XIONE_US,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,Replaced with Sercomm RTK (recently moved to Rack),Rufus,0.52,3.4,2.97,4.87,13.91,2.09,6.73,Need to create filter,,,
B0:45:30:FD:8A:BB,SKXI11ADSSOFT,ALPACA_FOXTEL,FOXTEL_PUCK,Sky Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,To be replaced with WNC RTK. Device is not in good state (needs recovery & in Progress),Lokesh,1.04,6.01,7.39,8.63,6.99,8.63,7.47,,,,
SMART GUIDANCE,,,,,,,,,,,,,,,,,,,,,,,
D4:52:EE:DA:D6:13,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,PAT  / SG Testing,Sumathi,5.79,2.25,7.85,14.4,20.69,13.25,9.06,,,,
D4:52:EE:D8:CE:56,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,Smart Guidance - RDK-E,Sumathi,6.13,15.13,20.6,11.37,20.7,15.07,7.11,,,,
D4:52:EE:DD:56:5A,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,CIEC-MOD7-R5R9,Offshore,Chennai,Rack,LRQA,Smart Guidance - RDK-E,Sumathi,6.47,3.14,4.62,3.88,13.21,9.36,12.31,,,,
CI Devices,,,,,,,,,,,,,,,,,,,,,,,
38:A6:CE:FF:FC:75,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,Sky Stream,CATS,208.04,Onsite,Downingtown,Rack,LRQA,CI Testing,Megha,,1.96,4.62,0.7,5.09,6.9,3.88,,,Devices are picked from DHC now. ,
38:A6:CE:FF:FB:76,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,Sky Stream,CATS,208.04,Onsite,Downingtown,Rack,LRQA,CI Testing,Megha,,1.96,2.12,2.14,5.39,19.91,21.99,,,We moved these devices to private pool last week,
38:A6:CE:FF:FD:14,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,Sky Stream,CATS,208.04,Onsite,Downingtown,Rack,LRQA,CI Testing,Megha,,35.91,9.83,0.66,1.92,19.05,2.12,,,,
38:A6:CE:FF:FA:0E,SKXI11ADS,SKY-XIONE-UK,SKY-XIONE-UK_RDKE,Sky Stream,CATS,208.05,Onsite,Downingtown,Rack,LRQA,CI Testing,Megha,,0,2.67,13.11,3.12,13.19,22.23,,,,
F0:46:3B:5C:01:E2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,Xumo Stream,CATS,141.01,Onsite,Downingtown,Rack,LRQA,CI Testing,Megha,2.71,1.58,1.04,1.85,7.7,11.72,12.58,,,,
F0:46:3B:5B:E3:CD,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,Xumo Stream,CATS,220.07,Onsite,Downingtown,Rack,LRQA,CI Testing,Kiran,NA,NA,NA,NA,NA,NA,NA,,,Devices are picked from DHC now. ,
F0:46:3B:5B:EC:28,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,Xumo Stream,CATS,212.05,Onsite,Downingtown,Rack,LRQA,CI Testing,Kiran,4.89,1.5,3.19,3.2,10.07,12.39,12.43,,,Filters are disabled now,
F0:46:3B:5B:FC:D2,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,Xumo Stream,CATS,220.08,Onsite,Downingtown,Rack,LRQA,CI Testing,Kiran,6.74,3.83,3.32,3.75,7.88,10.59,14.34,,,Filters are disabled now,
F0:46:3B:5B:F7:14,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,Xumo Stream,CATS,212.05,Onsite,Downingtown,Rack,LRQA,CI Testing,Kiran,3.04,1.75,6.04,2.26,2.35,3,2.15,,,Move to CI (In Progress),
F0:46:3B:5B:EC:43,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0_RDKE,Xumo Stream,CATS,1717-43CL-RNR1,Onsite,Philadelphia,Rack,LRQA,CI Testing,Kiran,0.53,3.68,0.72,5.65,0.03,8.2,3.43,,,Filters are disabled now,
Varsha's Team Devices,,,,,,,,,,,,,,,,,,,,,,,
04:B8:6A:91:BC:76,SKXI11BED,Sky-Broadcom-XiOne-UK,SERCOMM_BCOM_XIONE_UK,Sky Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,Automation Testing,Varsha,,,1.66,3.84,0.7,1.62,3.49,,,,
D4:52:EE:D7:77:87,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,Sky Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,Automation Testing,Varsha,,,34.11,19.8,13.59,10.8,9.08,,,,
F0:46:3B:5B:E0:13,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,Xumo Stream,MCATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,Automation Testing,Varsha,,,10.9,7.9,2.28,2.17,2.17,,,,
BC:96:E5:F7:25:25,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BCOM_ROGERS_EAST,Xumo Stream,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,Automation Testing,Varsha,,,NA,NA,NA,NA,NA,,,,
F0:46:3B:FB:05:C5,COESST11BEI,Sercomm-Broadcom-ES1,SERCOMM_BCOM_ES1,Xumo Stream,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,Automation Testing,Varsha,,,0.66,0.77,0.77,0.55,0.61,,,,
E8:51:9E:D3:9A:3C,XUSPTC11MWR,Element-Apache-4K-Panel,Element-Apache-4K-Board,XUMO,CATS,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,WebApps,Automation Testing,Varsha,,,7.83,1.04,0.12,3.95,0.57,,,,
Low Priority Devices,,,,,,,,,,,,,,,,,,,,,,,
B0:45:30:FD:88:C9,SKXI11ADSSOFT,ALPACA_FOXTEL,FOXTEL_PUCK,Sky Stream,CATS,1717-CL43-RDR11,Onsite,Philadelphia,Rack,LRQA,On Hold,,0.94,3.83,1.67,2.12,0.12,2.67,2.85,,,need this device in future,
D4:DA:CD:FF:C1:B4,SKXI11AENSOIT,Sky-XiOne-IT,XIONE_ALPACA_IT,Sky Stream,CATS,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,On Hold,,2.67,0.21,2.89,0.42,1.41,0.28,0.23,,,need this device in future,
D4:52:EE:FF:F9:DC,SKTL11MEIFT,Llama-X3-Converter-FT,FOXTEL_PANEL,Sky Glass,CATS,CIEC-P3-RDKVQA-06,Offshore,Chennai,Rack,LRQA,On Hold,,0.72,3.58,4.18,3.84,3.74,4.01,2.52,,,low priority device & replaced with WNC Realtek when we get devices,
