mac_address,model_name,model_alias,model_type,device_type,vendor,rack,location_scope,location_site,placement_type,team_name,usage_purpose,owner_name,utilization_week_7,utilization_week_8,automation_filter,infra_tickets,device_repurpose
04:B8:6A:17:98:B8,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,,Sumathi,7.69,2.05,,,move to CI
38:A6:CE:FF:FA:E3,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,,Sumathi,5.36,2.42,,,move to CI
D4:DA:CD:BA:28:CE,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,220.08,Onsite,Downingtown,Rack,LRQA,,Swathikaa,16.31,2.05,RDKE_UK_FUNCTIONAL_NG_WNG,,
04:B8:6A:14:5D:54,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,1717-4321-R1R6,Onsite,Philadelphia,Rack,LRQA,,Vishnu,19.31,32.51,SANITY_UK_MCATS_NG_WNG,,
04:B8:6A:16:0D:AB,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,1717-4321-R1R6,Onsite,Philadelphia,Rack,LRQA,,Saritha,35.01,15.95,SANITY_UK_MCATS_NG_WNG,,
04:B8:6A:14:17:97,SKXI11ADS,SKY-XIONE-UK,SKY_XIONE_UK,STB,SKY,1717-4321-R1R6,Onsite,Philadelphia,Rack,LRQA,,Divya,27.39,22.85,,,
D4:DA:CD:FF:A7:DA,SKXI11AEISODE,Sky-XiOne-DE,XIONE_ALPACA_DE,STB,Sky,CIEC-MOD7-R5R10,Offshore,Chennai,Rack,LRQA,,Saritha,11.99,10.56,RDKE_SANITY_ALPACADE_CATS,,
F0:46:3B:FA:D3:37,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,CIEC-MOD7-R5R15,Offshore,Chennai,Rack,LRQA,,Rufus,4.23,2.14,RDKE_SERCOMM_REALTEK_ES1_SANITY_CATS,,
F0:46:3B:FA:D6:1C,COESST11AEI,Sercomm-Realtek-ES1,SERCOMM_REALTEK_ES1,STB,Sercomm,CIEC-MOD7-R5R15,Offshore,Chennai,Rack,LRQA,,Rufus,2.83,40.84,RDKE_SERCOMM_REALTEK_ES1_SANITY_CATS,,
F0:46:3B:0F:CC:0C,SCXI11AIC,Sercomm-Realtek-Xione,SERCOMM_REALTEK_XIONE_US,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Rufus,2.61,0.3,Need to create filter,,
F0:46:3B:3D:0B:7D,SCXI11BEI,Sercomm-Broadcom-XiOne,SERCOMM_BROADCOM_FLEX2_0,STB,Sercomm,CIEC-M2R4R2-DEV,Offshore,Chennai,Rack,LRQA,,Arun,18.14,28.52,,,
